ticket_id,incident_id,opened_at,resolved_at,priority,status,assignment_group,service,configuration_item,category,resolution_hours,sla_breached,root_cause_code,source_updated_at
INC-202600025,INC-202600025,2026-01-03T02:00:00+00:00,2026-01-03T04:24:00+00:00,P2,resolved,Service Desk,Order Management,svc-order-mgmt,availability,2.4,False,application_error,2026-01-03T04:24:00+00:00
INC-202600026,INC-202600026,2026-01-03T04:00:00+00:00,2026-01-03T05:30:00+00:00,P3,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.5,False,application_error,2026-01-03T05:30:00+00:00
INC-202600027,INC-202600027,2026-01-03T06:00:00+00:00,2026-01-03T07:36:00+00:00,P4,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.6,False,application_error,2026-01-03T07:36:00+00:00
INC-202600028,INC-202600028,2026-01-03T08:00:00+00:00,2026-01-03T12:30:00+00:00,P1,resolved,Service Desk,Order Management,svc-order-mgmt,availability,4.5,False,application_error,2026-01-03T12:30:00+00:00
INC-202600029,INC-202600029,2026-01-03T10:00:00+00:00,2026-01-03T12:06:00+00:00,P2,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,2.1,False,application_error,2026-01-03T12:06:00+00:00
INC-202600030,INC-202600030,2026-01-03T12:00:00+00:00,2026-01-03T13:12:00+00:00,P3,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.2,False,application_error,2026-01-03T13:12:00+00:00
INC-202600031,INC-202600031,2026-01-03T14:00:00+00:00,2026-01-03T15:18:00+00:00,P4,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.3,False,application_error,2026-01-03T15:18:00+00:00
INC-202600032,INC-202600032,2026-01-03T16:00:00+00:00,2026-01-03T20:54:00+00:00,P1,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,4.9,False,application_error,2026-01-03T20:54:00+00:00
INC-202600033,INC-202600033,2026-01-03T18:00:00+00:00,2026-01-03T20:30:00+00:00,P2,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,2.5,False,application_error,2026-01-03T20:30:00+00:00
INC-202600034,INC-202600034,2026-01-03T20:00:00+00:00,2026-01-03T21:36:00+00:00,P3,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.6,False,certificate_expiry,2026-01-03T21:36:00+00:00
INC-202600035,INC-202600035,2026-01-03T22:00:00+00:00,2026-01-03T23:00:00+00:00,P4,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.0,False,application_error,2026-01-03T23:00:00+00:00
INC-202600036,INC-202600036,2026-01-04T00:00:00+00:00,2026-01-04T04:36:00+00:00,P1,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,4.6,False,application_error,2026-01-04T04:36:00+00:00
INC-202600037,INC-202600037,2026-01-04T02:00:00+00:00,2026-01-04T04:12:00+00:00,P2,resolved,Service Desk,Order Management,svc-order-mgmt,availability,2.2,False,application_error,2026-01-04T04:12:00+00:00
INC-202600038,INC-202600038,2026-01-04T04:00:00+00:00,2026-01-04T05:18:00+00:00,P3,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.3,False,application_error,2026-01-04T05:18:00+00:00
INC-202600039,INC-202600039,2026-01-04T06:00:00+00:00,2026-01-04T07:24:00+00:00,P4,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.4,False,application_error,2026-01-04T07:24:00+00:00
INC-202600040,INC-202600040,2026-01-04T08:00:00+00:00,2026-01-04T13:00:00+00:00,P1,resolved,Service Desk,Order Management,svc-order-mgmt,availability,5.0,True,application_error,2026-01-04T13:00:00+00:00
INC-202600041,INC-202600041,2026-01-04T10:00:00+00:00,2026-01-04T12:36:00+00:00,P2,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,2.6,False,application_error,2026-01-04T12:36:00+00:00
INC-202600042,INC-202600042,2026-01-04T12:00:00+00:00,2026-01-04T13:00:00+00:00,P3,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.0,False,application_error,2026-01-04T13:00:00+00:00
INC-202600043,INC-202600043,2026-01-04T14:00:00+00:00,2026-01-04T15:06:00+00:00,P4,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.1,False,application_error,2026-01-04T15:06:00+00:00
INC-202600044,INC-202600044,2026-01-04T16:00:00+00:00,2026-01-04T20:42:00+00:00,P1,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,4.7,False,application_error,2026-01-04T20:42:00+00:00
INC-202600045,INC-202600045,2026-01-04T18:00:00+00:00,2026-01-04T20:18:00+00:00,P2,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,2.3,False,application_error,2026-01-04T20:18:00+00:00
INC-202600046,INC-202600046,2026-01-04T20:00:00+00:00,2026-01-04T21:24:00+00:00,P3,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.4,False,application_error,2026-01-04T21:24:00+00:00
INC-202600047,INC-202600047,2026-01-04T22:00:00+00:00,2026-01-04T23:30:00+00:00,P4,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.5,False,application_error,2026-01-04T23:30:00+00:00
INC-202600048,INC-202600048,2026-01-05T00:00:00+00:00,2026-01-05T05:06:00+00:00,P1,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,5.1,False,application_error,2026-01-05T05:06:00+00:00
INC-202600049,INC-202600049,2026-01-05T02:00:00+00:00,2026-01-05T04:00:00+00:00,P2,resolved,Service Desk,Order Management,svc-order-mgmt,availability,2.0,False,application_error,2026-01-05T04:00:00+00:00
INC-202600050,INC-202600050,2026-01-05T04:00:00+00:00,2026-01-05T05:06:00+00:00,P3,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.1,False,application_error,2026-01-05T05:06:00+00:00
INC-202600051,INC-202600051,2026-01-05T06:00:00+00:00,2026-01-05T07:12:00+00:00,P4,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.2,False,certificate_expiry,2026-01-05T07:12:00+00:00
INC-202600052,INC-202600052,2026-01-05T08:00:00+00:00,2026-01-05T12:48:00+00:00,P1,resolved,Service Desk,Order Management,svc-order-mgmt,availability,4.8,False,application_error,2026-01-05T12:48:00+00:00
INC-202600053,INC-202600053,2026-01-05T10:00:00+00:00,2026-01-05T12:24:00+00:00,P2,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,2.4,False,application_error,2026-01-05T12:24:00+00:00
INC-202600054,INC-202600054,2026-01-05T12:00:00+00:00,2026-01-05T13:30:00+00:00,P3,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.5,False,application_error,2026-01-05T13:30:00+00:00
INC-202600055,INC-202600055,2026-01-05T14:00:00+00:00,2026-01-05T15:36:00+00:00,P4,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.6,False,application_error,2026-01-05T15:36:00+00:00
INC-202600056,INC-202600056,2026-01-05T16:00:00+00:00,2026-01-05T20:30:00+00:00,P1,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,4.5,False,application_error,2026-01-05T20:30:00+00:00
INC-202600057,INC-202600057,2026-01-05T18:00:00+00:00,2026-01-05T20:06:00+00:00,P2,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,2.1,False,application_error,2026-01-05T20:06:00+00:00
INC-202600058,INC-202600058,2026-01-05T20:00:00+00:00,2026-01-05T21:12:00+00:00,P3,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.2,False,application_error,2026-01-05T21:12:00+00:00
INC-202600059,INC-202600059,2026-01-05T22:00:00+00:00,2026-01-05T23:18:00+00:00,P4,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.3,False,application_error,2026-01-05T23:18:00+00:00
INC-202600060,INC-202600060,2026-01-06T00:00:00+00:00,2026-01-06T04:54:00+00:00,P1,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,4.9,True,application_error,2026-01-06T04:54:00+00:00
INC-202600061,INC-202600061,2026-01-06T02:00:00+00:00,2026-01-06T04:30:00+00:00,P2,resolved,Service Desk,Order Management,svc-order-mgmt,availability,2.5,False,application_error,2026-01-06T04:30:00+00:00
INC-202600062,INC-202600062,2026-01-06T04:00:00+00:00,2026-01-06T05:36:00+00:00,P3,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.6,False,application_error,2026-01-06T05:36:00+00:00
INC-202600063,INC-202600063,2026-01-06T06:00:00+00:00,2026-01-06T07:00:00+00:00,P4,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.0,False,application_error,2026-01-06T07:00:00+00:00
INC-202600064,INC-202600064,2026-01-06T08:00:00+00:00,2026-01-06T12:36:00+00:00,P1,resolved,Service Desk,Order Management,svc-order-mgmt,availability,4.6,False,application_error,2026-01-06T12:36:00+00:00
INC-202600065,INC-202600065,2026-01-06T10:00:00+00:00,2026-01-06T12:12:00+00:00,P2,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,2.2,False,application_error,2026-01-06T12:12:00+00:00
INC-202600066,INC-202600066,2026-01-06T12:00:00+00:00,2026-01-06T13:18:00+00:00,P3,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.3,False,application_error,2026-01-06T13:18:00+00:00
INC-202600067,INC-202600067,2026-01-06T14:00:00+00:00,2026-01-06T15:24:00+00:00,P4,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.4,False,application_error,2026-01-06T15:24:00+00:00
INC-202600068,INC-202600068,2026-01-06T16:00:00+00:00,2026-01-06T21:00:00+00:00,P1,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,5.0,False,certificate_expiry,2026-01-06T21:00:00+00:00
INC-202600069,INC-202600069,2026-01-06T18:00:00+00:00,2026-01-06T20:36:00+00:00,P2,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,2.6,False,application_error,2026-01-06T20:36:00+00:00
INC-202600070,INC-202600070,2026-01-06T20:00:00+00:00,2026-01-06T21:00:00+00:00,P3,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.0,False,application_error,2026-01-06T21:00:00+00:00
INC-202600071,INC-202600071,2026-01-06T22:00:00+00:00,2026-01-06T23:06:00+00:00,P4,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.1,False,application_error,2026-01-06T23:06:00+00:00
INC-202600072,INC-202600072,2026-01-07T00:00:00+00:00,2026-01-07T04:42:00+00:00,P1,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,4.7,False,application_error,2026-01-07T04:42:00+00:00
INC-202600073,INC-202600073,2026-01-07T02:00:00+00:00,2026-01-07T04:18:00+00:00,P2,resolved,Service Desk,Order Management,svc-order-mgmt,availability,2.3,False,application_error,2026-01-07T04:18:00+00:00
INC-202600074,INC-202600074,2026-01-07T04:00:00+00:00,2026-01-07T05:24:00+00:00,P3,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.4,False,application_error,2026-01-07T05:24:00+00:00
INC-202600075,INC-202600075,2026-01-07T06:00:00+00:00,2026-01-07T07:30:00+00:00,P4,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.5,False,application_error,2026-01-07T07:30:00+00:00
INC-202600076,INC-202600076,2026-01-07T08:00:00+00:00,2026-01-07T13:06:00+00:00,P1,resolved,Service Desk,Order Management,svc-order-mgmt,availability,5.1,False,application_error,2026-01-07T13:06:00+00:00
INC-202600077,INC-202600077,2026-01-07T10:00:00+00:00,2026-01-07T12:00:00+00:00,P2,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,2.0,False,application_error,2026-01-07T12:00:00+00:00
INC-202600078,INC-202600078,2026-01-07T12:00:00+00:00,2026-01-07T13:06:00+00:00,P3,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.1,False,application_error,2026-01-07T13:06:00+00:00
INC-202600079,INC-202600079,2026-01-07T14:00:00+00:00,2026-01-07T15:12:00+00:00,P4,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.2,False,application_error,2026-01-07T15:12:00+00:00
INC-202600080,INC-202600080,2026-01-07T16:00:00+00:00,2026-01-07T20:48:00+00:00,P1,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,4.8,True,application_error,2026-01-07T20:48:00+00:00
INC-202600081,INC-202600081,2026-01-07T18:00:00+00:00,2026-01-07T20:24:00+00:00,P2,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,2.4,False,application_error,2026-01-07T20:24:00+00:00
INC-202600082,INC-202600082,2026-01-07T20:00:00+00:00,2026-01-07T21:30:00+00:00,P3,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.5,False,application_error,2026-01-07T21:30:00+00:00
INC-202600083,INC-202600083,2026-01-07T22:00:00+00:00,2026-01-07T23:36:00+00:00,P4,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.6,False,application_error,2026-01-07T23:36:00+00:00
INC-202600084,INC-202600084,2026-01-08T00:00:00+00:00,2026-01-08T04:30:00+00:00,P1,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,4.5,False,application_error,2026-01-08T04:30:00+00:00
INC-202600085,INC-202600085,2026-01-08T02:00:00+00:00,2026-01-08T04:06:00+00:00,P2,resolved,Service Desk,Order Management,svc-order-mgmt,availability,2.1,False,certificate_expiry,2026-01-08T04:06:00+00:00
INC-202600086,INC-202600086,2026-01-08T04:00:00+00:00,2026-01-08T05:12:00+00:00,P3,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.2,False,application_error,2026-01-08T05:12:00+00:00
INC-202600087,INC-202600087,2026-01-08T06:00:00+00:00,2026-01-08T07:18:00+00:00,P4,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.3,False,application_error,2026-01-08T07:18:00+00:00
INC-202600088,INC-202600088,2026-01-08T08:00:00+00:00,2026-01-08T12:54:00+00:00,P1,resolved,Service Desk,Order Management,svc-order-mgmt,availability,4.9,False,application_error,2026-01-08T12:54:00+00:00
INC-202600089,INC-202600089,2026-01-08T10:00:00+00:00,2026-01-08T12:30:00+00:00,P2,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,2.5,False,application_error,2026-01-08T12:30:00+00:00
INC-202600090,INC-202600090,2026-01-08T12:00:00+00:00,2026-01-08T13:36:00+00:00,P3,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.6,False,application_error,2026-01-08T13:36:00+00:00
INC-202600091,INC-202600091,2026-01-08T14:00:00+00:00,2026-01-08T15:00:00+00:00,P4,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.0,False,application_error,2026-01-08T15:00:00+00:00
INC-202600092,INC-202600092,2026-01-08T16:00:00+00:00,2026-01-08T20:36:00+00:00,P1,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,4.6,False,application_error,2026-01-08T20:36:00+00:00
INC-202600093,INC-202600093,2026-01-08T18:00:00+00:00,2026-01-08T20:12:00+00:00,P2,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,2.2,False,application_error,2026-01-08T20:12:00+00:00
INC-202600094,INC-202600094,2026-01-08T20:00:00+00:00,2026-01-08T21:18:00+00:00,P3,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.3,False,application_error,2026-01-08T21:18:00+00:00
INC-202600095,INC-202600095,2026-01-08T22:00:00+00:00,2026-01-08T23:24:00+00:00,P4,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.4,False,application_error,2026-01-08T23:24:00+00:00
INC-202600096,INC-202600096,2026-01-09T00:00:00+00:00,2026-01-09T05:00:00+00:00,P1,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,5.0,False,application_error,2026-01-09T05:00:00+00:00
INC-202600097,INC-202600097,2026-01-09T02:00:00+00:00,2026-01-09T04:36:00+00:00,P2,resolved,Service Desk,Order Management,svc-order-mgmt,availability,2.6,False,application_error,2026-01-09T04:36:00+00:00
INC-202600098,INC-202600098,2026-01-09T04:00:00+00:00,2026-01-09T05:00:00+00:00,P3,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.0,False,application_error,2026-01-09T05:00:00+00:00
INC-202600099,INC-202600099,2026-01-09T06:00:00+00:00,2026-01-09T07:06:00+00:00,P4,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.1,False,application_error,2026-01-09T07:06:00+00:00
INC-202600100,INC-202600100,2026-01-09T08:00:00+00:00,2026-01-09T12:42:00+00:00,P1,resolved,Service Desk,Order Management,svc-order-mgmt,availability,4.7,True,application_error,2026-01-09T12:42:00+00:00
INC-202600101,INC-202600101,2026-01-09T10:00:00+00:00,2026-01-09T12:18:00+00:00,P2,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,2.3,False,application_error,2026-01-09T12:18:00+00:00
INC-202600102,INC-202600102,2026-01-09T12:00:00+00:00,2026-01-09T13:24:00+00:00,P3,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.4,False,certificate_expiry,2026-01-09T13:24:00+00:00
INC-202600103,INC-202600103,2026-01-09T14:00:00+00:00,2026-01-09T15:30:00+00:00,P4,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.5,False,application_error,2026-01-09T15:30:00+00:00
INC-202600104,INC-202600104,2026-01-09T16:00:00+00:00,2026-01-09T21:06:00+00:00,P1,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,5.1,False,application_error,2026-01-09T21:06:00+00:00
INC-202600105,INC-202600105,2026-01-09T18:00:00+00:00,2026-01-09T20:00:00+00:00,P2,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,2.0,False,application_error,2026-01-09T20:00:00+00:00
INC-202600106,INC-202600106,2026-01-09T20:00:00+00:00,2026-01-09T21:06:00+00:00,P3,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.1,False,application_error,2026-01-09T21:06:00+00:00
INC-202600107,INC-202600107,2026-01-09T22:00:00+00:00,2026-01-09T23:12:00+00:00,P4,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.2,False,application_error,2026-01-09T23:12:00+00:00
INC-202600108,INC-202600108,2026-01-10T00:00:00+00:00,2026-01-10T04:48:00+00:00,P1,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,4.8,False,application_error,2026-01-10T04:48:00+00:00
INC-202600109,INC-202600109,2026-01-10T02:00:00+00:00,2026-01-10T04:24:00+00:00,P2,resolved,Service Desk,Order Management,svc-order-mgmt,availability,2.4,False,application_error,2026-01-10T04:24:00+00:00
INC-202600110,INC-202600110,2026-01-10T04:00:00+00:00,2026-01-10T05:30:00+00:00,P3,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.5,False,application_error,2026-01-10T05:30:00+00:00
INC-202600111,INC-202600111,2026-01-10T06:00:00+00:00,2026-01-10T07:36:00+00:00,P4,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.6,False,application_error,2026-01-10T07:36:00+00:00
INC-202600112,INC-202600112,2026-01-10T08:00:00+00:00,2026-01-10T12:30:00+00:00,P1,resolved,Service Desk,Order Management,svc-order-mgmt,availability,4.5,False,application_error,2026-01-10T12:30:00+00:00
INC-202600113,INC-202600113,2026-01-10T10:00:00+00:00,2026-01-10T12:06:00+00:00,P2,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,2.1,False,application_error,2026-01-10T12:06:00+00:00
INC-202600114,INC-202600114,2026-01-10T12:00:00+00:00,2026-01-10T13:12:00+00:00,P3,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.2,False,application_error,2026-01-10T13:12:00+00:00
INC-202600115,INC-202600115,2026-01-10T14:00:00+00:00,2026-01-10T15:18:00+00:00,P4,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.3,False,application_error,2026-01-10T15:18:00+00:00
INC-202600116,INC-202600116,2026-01-10T16:00:00+00:00,2026-01-10T20:54:00+00:00,P1,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,4.9,False,application_error,2026-01-10T20:54:00+00:00
INC-202600117,INC-202600117,2026-01-10T18:00:00+00:00,2026-01-10T20:30:00+00:00,P2,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,2.5,False,application_error,2026-01-10T20:30:00+00:00
INC-202600118,INC-202600118,2026-01-10T20:00:00+00:00,2026-01-10T21:36:00+00:00,P3,resolved,Service Desk,Order Management,svc-order-mgmt,availability,1.6,False,application_error,2026-01-10T21:36:00+00:00
INC-202600119,INC-202600119,2026-01-10T22:00:00+00:00,2026-01-10T23:00:00+00:00,P4,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.0,False,certificate_expiry,2026-01-10T23:00:00+00:00
INC-202600120,INC-202600120,2026-01-11T00:00:00+00:00,2026-01-11T04:36:00+00:00,P1,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,4.6,True,application_error,2026-01-11T04:36:00+00:00
INC-202600121,INC-202600121,2026-01-11T02:00:00+00:00,2026-01-11T04:12:00+00:00,P2,resolved,Service Desk,Order Management,svc-order-mgmt,availability,2.2,False,application_error,2026-01-11T04:12:00+00:00
INC-202600122,INC-202600122,2026-01-11T04:00:00+00:00,2026-01-11T05:18:00+00:00,P3,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,1.3,False,application_error,2026-01-11T05:18:00+00:00
INC-202600123,INC-202600123,2026-01-11T06:00:00+00:00,2026-01-11T07:24:00+00:00,P4,resolved,Digital Operations,Patient Operations Portal,svc-patient-portal,availability,1.4,False,application_error,2026-01-11T07:24:00+00:00
INC-202600124,INC-202600124,2026-01-11T08:00:00+00:00,2026-01-11T13:00:00+00:00,P1,resolved,Service Desk,Order Management,svc-order-mgmt,availability,5.0,False,application_error,2026-01-11T13:00:00+00:00
INC-202600125,INC-202600125,2026-01-11T10:00:00+00:00,2026-01-11T12:36:00+00:00,P2,resolved,Service Desk,Identity Gateway,svc-identity-gateway,authentication,2.6,False,application_error,2026-01-11T12:36:00+00:00
